Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:39:53;-6.975.996;107.635.246;3541782
15/02/2020;12:39:54;-6.975.996;107.635.246;3534232
15/02/2020;12:39:55;-6.975.988;107.635.231;3526681
15/02/2020;12:39:56;-6.975.988;107.635.231;3511582
15/02/2020;12:39:57;-6.975.989;107.635.231;3501515
15/02/2020;12:39:58;-6.975.989;107.635.231;3490190
15/02/2020;12:39:59;-6.975.988;107.635.223;3478865
15/02/2020;12:40:00;-6.975.988;107.635.223;3467540
15/02/2020;12:40:01;-6.975.983;107.635.223;3456215
15/02/2020;12:40:02;-6.975.983;107.635.223;3444890
15/02/2020;12:40:03;-6.975.979;107.635.223;3433565
15/02/2020;12:40:04;-6.975.979;107.635.223;3458728
15/02/2020;12:40:05;-6.975.988;107.635.231;3443628
15/02/2020;12:40:06;-6.975.988;107.635.231;3466279
15/02/2020;12:40:07;-6.975.990;107.635.238;3488930
15/02/2020;12:40:08;-6.975.990;107.635.238;3511581
15/02/2020;12:40:09;-6.975.985;107.635.231;3511582
15/02/2020;12:40:10;-6.975.985;107.635.231;3519132
15/02/2020;12:40:11;-6.975.974;107.635.238;3534232
15/02/2020;12:40:12;-6.975.974;107.635.238;3519132
15/02/2020;12:40:13;-6.975.957;107.635.246;3443628
15/02/2020;12:40:14;-6.975.957;107.635.246;3466279
15/02/2020;12:40:15;-6.975.932;107.635.238;3488930
15/02/2020;12:40:16;-6.975.932;107.635.238;3511581
15/02/2020;12:40:17;-6.975.909;107.635.246;3534232
15/02/2020;12:40:18;-6.975.909;107.635.246;3556883
15/02/2020;12:40:19;-6.975.867;107.635.261;3579534
15/02/2020;12:40:20;-6.975.867;107.635.261;3556884
15/02/2020;12:40:21;-6.975.836;107.635.261;3602185
15/02/2020;12:40:22;-6.975.836;107.635.261;3617288
15/02/2020;12:40:23;-6.975.800;107.635.292;3632387
15/02/2020;12:40:24;-6.975.800;107.635.292;3677689
15/02/2020;12:40:25;-6.975.759;107.635.322;3677689
15/02/2020;12:40:26;-6.975.759;107.635.322;3753194
15/02/2020;12:40:27;-6.975.714;107.635.345;3775845
15/02/2020;12:40:28;-6.975.714;107.635.345;3775845
15/02/2020;12:40:29;-6.975.667;107.635.368;3730542
15/02/2020;12:40:30;-6.975.667;107.635.368;3783395
15/02/2020;12:40:31;-6.975.624;107.635.391;3783395
15/02/2020;12:40:32;-6.975.624;107.635.391;3783395
15/02/2020;12:40:33;-6.975.590;107.635.414;3738092
15/02/2020;12:40:34;-6.975.590;107.635.414;3707891
15/02/2020;12:40:35;-6.975.547;107.635.437;3730542
15/02/2020;12:40:36;-6.975.547;107.635.437;3836248
15/02/2020;12:40:37;-6.975.498;107.635.452;3783395
15/02/2020;12:40:38;-6.975.498;107.635.452;3692791
15/02/2020;12:40:39;-6.975.446;107.635.482;3700342
